entity_id,entity_type,self_attestation_bias,incentive_alignment_bias,regulatory_capture_risk,publication_bias,benchmark_overfitting_bias,evaluation_leakage_bias,distribution_shift_bias,obfuscation_risk
S2-T3-01,governance,1,1,2,1,,,,
S2-T3-02,governance,1,1,1,2,,,,
S2-T3-03,governance,1,1,2,1,,,,
S2-T3-04,governance,1,1,2,1,,,,
S2-T3-05,governance,1,1,1,2,,,,
S2-T3-06,governance,1,1,1,2,,,,
S2-T3-07,governance,1,1,1,2,,,,
S2-T3-08,governance,1,1,1,2,,,,
S2-T3-09,governance,1,1,1,2,,,,
S2-T3-10,governance,1,1,1,2,,,,
S2-T3-11,governance,1,1,1,2,,,,
S2-T3-12,governance,1,1,1,2,,,,
S2-T3-13,governance,1,1,1,2,,,,
S2-T3-14,governance,1,1,1,2,,,,
S2-T3-15,governance,1,1,1,2,,,,
S2-T3-16,governance,1,1,1,2,,,,
S2-T3-17,governance,1,1,1,2,,,,
S2-T3-18,governance,1,1,1,2,,,,
S2-T3-19,governance,1,1,1,2,,,,
S2-T3-20,governance,1,1,1,2,,,,
S2-T3-21,governance,1,1,1,2,,,,
S2-T3-22,governance,1,1,2,1,,,,
S2-T3-23,governance,1,1,2,1,,,,
S2-T3-24,governance,1,1,2,1,,,,
S2-T3-25,governance,1,1,2,1,,,,
S2-T3-26,governance,3,2,1,2,,,,
S2-T3-27,governance,3,2,1,2,,,,
S2-T3-28,governance,3,2,1,2,,,,
S2-T3-29,governance,3,2,1,2,,,,
S2-T3-30,governance,3,2,1,2,,,,
S2-T3-31,governance,3,2,1,2,,,,
S2-T3-32,governance,3,2,1,2,,,,
S2-T3-33,governance,3,2,1,2,,,,
S2-T3-34,governance,3,2,1,2,,,,
S2-T3-35,governance,3,2,1,2,,,,
S2-T3-36,governance,3,2,1,2,,,,
S2-T3-37,governance,1,1,1,2,,,,
S2-T3-38,governance,1,1,1,2,,,,
S2-T3-39,governance,1,1,1,2,,,,
S2-T3-40,governance,3,2,1,2,,,,
S2-T3-41,governance,3,2,1,2,,,,
S2-T3-42,governance,3,2,1,2,,,,
S2-T3-43,governance,3,2,1,2,,,,
S2-T3-44,governance,3,2,1,2,,,,
S2-T3-45,governance,3,2,1,2,,,,
S2-T3-46,governance,1,1,1,2,,,,
S2-T3-47,governance,3,2,1,2,,,,
S2-T3-48,governance,1,1,1,2,,,,
S2-T3-49,governance,1,1,1,2,,,,
S2-T3-50,governance,1,1,1,2,,,,
S2-T3-51,governance,1,1,1,2,,,,
S2-T3-52,governance,1,1,1,2,,,,
S2-T3-53,governance,1,1,1,2,,,,
S2-T3-54,governance,3,2,1,2,,,,
S2-T3-55,governance,1,1,1,2,,,,
S2-T3-56,governance,1,1,1,2,,,,
S2-T3-57,governance,1,1,1,2,,,,
S2-T3-58,governance,1,1,2,1,,,,
S2-T3-59,governance,1,1,1,2,,,,
S2-T3-60,governance,1,1,1,2,,,,
