evidence_type,domain,threat_model,failure_mode,cell_support_rows,gap_severity,minimum_next_evidence
requirements,GPAI,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,frontier_capability_tracking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,sabotage,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,frontier_capability_tracking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,sabotage,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,alignment_faking,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,alignment_faking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,evaluation_awareness,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,evaluation_awareness,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,frontier_capability_tracking,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,sabotage,evaluation_aware,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,deception,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,frontier_capability_tracking,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,sabotage,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,scheming,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,deception,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,frontier_capability_tracking,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,sabotage,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,scheming,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,deception,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,scheming,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,deception,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,scheming,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,scheming,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,scheming,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,scheming,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,scheming,distribution_shift,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,benign_use,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,incidents,benign_use,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,incidents,benign_use,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,benign_use,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,backdoor,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,data_poisoning,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,frontier_capability_tracking,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,risk_certification,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,backdoor,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,data_poisoning,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,frontier_capability_tracking,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
