item_id,item_type,stratum,sampling_seed,pilot_version
S2-T3-01,governance,governance::requirements,42,v0.1
S2-T3-02,governance,governance::requirements,42,v0.1
S2-T3-04,governance,governance::requirements,42,v0.1
S2-T3-05,governance,governance::requirements,42,v0.1
S2-T3-06,governance,governance::evidence,42,v0.1
S2-T3-10,governance,governance::evidence,42,v0.1
S2-T3-100,governance,governance::evidence,42,v0.1
S2-T3-13,governance,governance::evidence,42,v0.1
S2-T3-03,governance,governance::audit,42,v0.1
S2-T3-27,governance,governance::audit,42,v0.1
S2-T3-31,governance,governance::audit,42,v0.1
S2-T3-46,governance,governance::audit,42,v0.1
T-EGM-002,technical,technical::evaluation_gaming,42,v0.1
T-EGM-003,technical,technical::evaluation_gaming,42,v0.1
T-EGM-004,technical,technical::evaluation_gaming,42,v0.1
T-EGM-005,technical,technical::evaluation_gaming,42,v0.1
T-EGM-008,technical,technical::evaluation_gaming,42,v0.1
T-EGM-009,technical,technical::evaluation_gaming,42,v0.1
T-EGM-001,technical,technical::monitorability,42,v0.1
T-EGM-006,technical,technical::monitorability,42,v0.1
