id,n,raw_description,issuer,artifact_type,artifact_subtype,assurance_function,domain,verification_strength,verification_basis,evidence_dependency,bindingness,is_canonical,is_secondary_pointer,canonical_group_id,dedupe_key,source_file,source_line,tag_confidence,atlas_version,schema_version
S2-T3-01,1,"NIST, Generative AI Profile (AI RMF profile).",NIST,profile,profile,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-01,"NIST:NIST, Generative AI Profile",deep-research-report (2).md,280,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-02,2,"NIST, Managing misuse risk for dual‑use foundation models (AI 800‑1 series).",NIST,report,report,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-02,"NIST:NIST, Managing misuse risk for dual‑use foundation models",deep-research-report (2).md,281,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-03,3,"NIST, TEVV standard outline (Zero Draft).",NIST,standard,standard,audit,"[""evaluations""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-03,"NIST:NIST, TEVV standard outline",deep-research-report (2).md,282,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-04,4,"NIST, AI documentation outline (Zero Draft).",NIST,standard,standard,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-04,"NIST:NIST, AI documentation outline",deep-research-report (2).md,283,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-05,5,EU AI Act timeline page.,European Commission,report,portal_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,True,False,S2-T3-05,European Commission:EU AI Act timeline page,deep-research-report (2).md,284,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-06,6,European Commission AI Act “enters into force” news.,European Commission,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-06,European Commission:European Commission AI Act “enters into force” news,deep-research-report (2).md,285,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-07,7,EU “Regulatory framework on AI” page.,European Commission,report,portal_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,True,False,S2-T3-07,European Commission:EU “Regulatory framework on AI” page,deep-research-report (2).md,286,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-08,8,EU Code of Practice contents page (GPAI).,European Commission,report,portal_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,True,False,S2-T3-08,European Commission:EU Code of Practice contents page,deep-research-report (2).md,287,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-09,9,EU “Drawing‑up a GPAI Code of Practice” page.,European Commission,report,portal_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,True,False,S2-T3-09,European Commission:EU “Drawing‑up a GPAI Code of Practice” page,deep-research-report (2).md,288,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-10,10,OECD HAIP reporting portal.,OECD,report,portal_page,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,self_report_or_registry,voluntary,True,False,S2-T3-10,OECD:OECD HAIP reporting portal,deep-research-report (2).md,289,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-11,11,OECD press release on HAIP framework launch.,OECD,report,press_release,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-11,OECD:OECD press release on HAIP framework launch,deep-research-report (2).md,290,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-12,12,OECD event page launching HAIP reporting framework.,OECD,report,event_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,self_report_or_registry,voluntary,True,False,S2-T3-12,OECD:OECD event page launching HAIP reporting framework,deep-research-report (2).md,291,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-13,13,OECD wonk explainer on HAIP reporting.,OECD,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-13,OECD:OECD wonk explainer on HAIP reporting,deep-research-report (2).md,292,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-14,14,OECD report: “How are AI developers managing risks?” (HTML).,OECD,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,False,True,S2-T3-15,OECD:OECD report: “How are AI developers managing risks?”,deep-research-report (2).md,293,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-15,15,OECD report PDF: “How are AI developers managing risks?”,OECD,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-15,OECD:OECD report : “How are AI developers managing risks?”,deep-research-report (2).md,294,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
