record_uid,source_database,query_id,record_title,record_year,screening_stage,inclusion_decision,exclusion_reason_code,exclusion_reason_detail,linked_object_type,linked_object_id
GOV-S2-T3-01,Seed corpus import,Q-GOV-01,"NIST, Generative AI Profile (AI RMF profile).",,full_text,include,,,governance_artifact,S2-T3-01
GOV-S2-T3-02,Seed corpus import,Q-GOV-01,"NIST, Managing misuse risk for dual‑use foundation models (AI 800‑1 series).",,full_text,include,,,governance_artifact,S2-T3-02
GOV-S2-T3-03,Seed corpus import,Q-GOV-01,"NIST, TEVV standard outline (Zero Draft).",,full_text,include,,,governance_artifact,S2-T3-03
GOV-S2-T3-04,Seed corpus import,Q-GOV-01,"NIST, AI documentation outline (Zero Draft).",,full_text,include,,,governance_artifact,S2-T3-04
GOV-S2-T3-05,Seed corpus import,Q-GOV-01,EU AI Act timeline page.,,full_text,include,,,governance_artifact,S2-T3-05
GOV-S2-T3-06,Seed corpus import,Q-GOV-01,European Commission AI Act “enters into force” news.,,full_text,include,,,governance_artifact,S2-T3-06
GOV-S2-T3-07,Seed corpus import,Q-GOV-01,EU “Regulatory framework on AI” page.,,full_text,include,,,governance_artifact,S2-T3-07
GOV-S2-T3-08,Seed corpus import,Q-GOV-01,EU Code of Practice contents page (GPAI).,,full_text,include,,,governance_artifact,S2-T3-08
GOV-S2-T3-09,Seed corpus import,Q-GOV-01,EU “Drawing‑up a GPAI Code of Practice” page.,,full_text,include,,,governance_artifact,S2-T3-09
GOV-S2-T3-10,Seed corpus import,Q-GOV-01,OECD HAIP reporting portal.,,full_text,include,,,governance_artifact,S2-T3-10
GOV-S2-T3-11,Seed corpus import,Q-GOV-01,OECD press release on HAIP framework launch.,,full_text,include,,,governance_artifact,S2-T3-11
GOV-S2-T3-12,Seed corpus import,Q-GOV-01,OECD event page launching HAIP reporting framework.,,full_text,include,,,governance_artifact,S2-T3-12
GOV-S2-T3-13,Seed corpus import,Q-GOV-01,OECD wonk explainer on HAIP reporting.,,full_text,include,,,governance_artifact,S2-T3-13
GOV-S2-T3-14,Seed corpus import,Q-GOV-01,OECD report: “How are AI developers managing risks?” (HTML).,,full_text,include,,,governance_artifact,S2-T3-14
GOV-S2-T3-15,Seed corpus import,Q-GOV-01,OECD report PDF: “How are AI developers managing risks?”,,full_text,include,,,governance_artifact,S2-T3-15
GOV-S2-T3-16,Seed corpus import,Q-GOV-01,OECD: “Trends in AI incidents…” (Feb 2026).,,full_text,include,,,governance_artifact,S2-T3-16
GOV-S2-T3-17,Seed corpus import,Q-GOV-01,UN: Governing AI for Humanity (final report PDF).,,full_text,include,,,governance_artifact,S2-T3-17
GOV-S2-T3-18,Seed corpus import,Q-GOV-01,UN AI Advisory Body landing page.,,full_text,include,,,governance_artifact,S2-T3-18
GOV-S2-T3-19,Seed corpus import,Q-GOV-01,UN iLibrary entry for Governing AI for Humanity.,,full_text,include,,,governance_artifact,S2-T3-19
GOV-S2-T3-20,Seed corpus import,Q-GOV-01,OMB M‑24‑10 (PDF).,,full_text,include,,,governance_artifact,S2-T3-20
GOV-S2-T3-21,Seed corpus import,Q-GOV-01,CIO.gov AI use case inventories reference.,,full_text,include,,,governance_artifact,S2-T3-21
GOV-S2-T3-22,Seed corpus import,Q-GOV-01,"Federal Register: advanced AI reporting requirements notice (Sep 11, 2024).",,full_text,include,,,governance_artifact,S2-T3-22
GOV-S2-T3-23,Seed corpus import,Q-GOV-01,"Federal Register: Framework for AI Diffusion (Jan 15, 2025).",,full_text,include,,,governance_artifact,S2-T3-23
GOV-S2-T3-24,Seed corpus import,Q-GOV-01,"White House presidential action replacing AI directives (Jan 23, 2025).",,full_text,include,,,governance_artifact,S2-T3-24
GOV-S2-T3-25,Seed corpus import,Q-GOV-01,"Federal Register: EO 14110 publication (Nov 1, 2023; background).",,full_text,include,,,governance_artifact,S2-T3-25
GOV-S2-T3-26,Seed corpus import,Q-GOV-01,FMF publications index.,,full_text,include,,,governance_artifact,S2-T3-26
GOV-S2-T3-27,Seed corpus import,Q-GOV-01,FMF: Frontier Capability Assessments report PDF.,,full_text,include,,,governance_artifact,S2-T3-27
GOV-S2-T3-28,Seed corpus import,Q-GOV-01,FMF: Risk Taxonomy and Thresholds report PDF.,,full_text,include,,,governance_artifact,S2-T3-28
GOV-S2-T3-29,Seed corpus import,Q-GOV-01,FMF: Frontier Mitigations page.,,full_text,include,,,governance_artifact,S2-T3-29
GOV-S2-T3-30,Seed corpus import,Q-GOV-01,FMF: Frontier AI and Nuclear Security update.,,full_text,include,,,governance_artifact,S2-T3-30
GOV-S2-T3-31,Seed corpus import,Q-GOV-01,FMF: TEVV comment letter (Sep 2025).,,full_text,include,,,governance_artifact,S2-T3-31
GOV-S2-T3-32,Seed corpus import,Q-GOV-01,FMF: thresholds issue brief (Feb 2025).,,full_text,include,,,governance_artifact,S2-T3-32
